video_id,title,published_at,query,has_caption,caption_path
0OWk8f8kc7k,Dermatology Secrets You Should Know: Dermatologist @DrPoojaReddy Explains | Sudheer Talks,2026-01-18T04:30:01Z,dermatologist explains skincare,False,
CTlTXSZMAqA,A dermatologist explains Seborrheic Dermatitis: What is it?How to treat?#seborrheicdermatitis #derm,2024-01-22T19:00:09Z,dermatologist explains skincare,False,
eyqvZrSYwdM,It&#39;s not just dry skin | Dermatologist Explains,2026-04-27T20:09:29Z,dermatologist explains skincare,False,
xZRsET_MUEg,Essential Basics of Skincare from a Skin Doctor,2022-03-27T16:00:20Z,dermatologist explains skincare,False,
Pif5NF2rNzM,dermatologist rating skincare ingredient ✨️#acne #skincare #haircare,2025-07-13T11:56:15Z,dermatologist explains skincare,False,
RWU_hMuaUqc,"Dermatologist Explains how to care for your Neck, Chest and Hands! #antiagingskincare",2023-10-18T18:11:54Z,dermatologist explains skincare,False,
SSUVVakE-lA,Skin purging | what causes it | what doesn’t | dermatologist explains,2023-06-26T10:49:55Z,dermatologist explains skincare,False,
gtosiFHHiRI,dermatologist explains foods for your skin ✨️#acne #haircare #food #beauty,2025-07-29T13:14:40Z,dermatologist explains skincare,False,
cPqWyh6m294,#dermatologist explains: #pregnancy safe #skincare PART 1 #ttc #skincareroutine | #shorts,2022-06-07T03:48:00Z,dermatologist explains skincare,False,
xwXsSaZu4qM,This is for all the comments we received asking Skincare routine for normal skin under Rs.1000/-,2025-07-21T12:18:30Z,dermatologist explains skincare,False,
niywIA8-pro,Dermatologist Explains: How to Use the Viral Cicaplast Balm by La Roche-Posay to #glowup,2024-11-06T22:48:04Z,dermatologist explains skincare,False,
lHDkWtV759o,The Surprising Truth About Petroleum Jelly #vaseline #dermatologist,2023-08-05T23:00:14Z,dermatologist explains skincare,False,
